head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
15,30,0.008414792450251962,0.0022596969713431997,29,attn:30-15,attn,0.6551724137931034,ceo_lastname
16,30,9.199494801638115e-05,-2.6366348235316694e-07,29,attn:30-16,attn,0.4482758620689655,ceo_lastname
17,30,5.0781121162665994e-05,5.296320983668271e-09,29,attn:30-17,attn,0.5517241379310345,ceo_lastname
18,30,0.00024069737956625327,-2.333755317872943e-07,29,attn:30-18,attn,0.41379310344827586,ceo_lastname
19,30,-0.00011355836158560366,-8.486702879696948e-09,29,attn:30-19,attn,0.3793103448275862,ceo_lastname
2,30,0.0061227928994322224,0.0030356580920938504,29,attn:30-2,attn,0.9655172413793104,ceo_lastname
20,30,0.0006829690487379727,3.255133029105468e-06,29,attn:30-20,attn,0.5862068965517241,ceo_lastname
21,30,0.006753180567519925,0.001695663441798878,29,attn:30-21,attn,0.7931034482758621,ceo_lastname
22,30,0.00020588632086535286,0.0,29,attn:30-22,attn,0.4827586206896552,ceo_lastname
23,30,6.5547310914449374e-06,-4.7592716896858076e-09,29,attn:30-23,attn,0.41379310344827586,ceo_lastname
24,30,0.0036355131365141107,0.002484187824091381,29,attn:30-24,attn,0.7931034482758621,ceo_lastname
25,30,-0.04809274721583687,-0.03830042869573807,29,attn:30-25,attn,0.0,ceo_lastname
26,30,0.03320446978290747,0.021303254547438966,29,attn:30-26,attn,1.0,ceo_lastname
27,30,0.05970360418424493,0.03983349739047893,29,attn:30-27,attn,0.9655172413793104,ceo_lastname
28,30,-5.140460933213917e-05,-1.4063966341126989e-08,29,attn:30-28,attn,0.3448275862068966,ceo_lastname
29,30,0.0027367254790942788,-0.0006942589675824339,29,attn:30-29,attn,0.3103448275862069,ceo_lastname
3,30,0.0010347845687426948,6.572943095222476e-09,29,attn:30-3,attn,0.5517241379310345,ceo_lastname
30,30,0.00930670326829956,0.0006941874672491544,29,attn:30-30,attn,0.6206896551724138,ceo_lastname
31,30,-0.00012063242053460718,1.1645507193474303e-08,29,attn:30-31,attn,0.5517241379310345,ceo_lastname
4,30,-5.496042084541276e-05,-1.702035666738552e-08,29,attn:30-4,attn,0.3448275862068966,ceo_lastname
5,30,-0.00013316307833754725,-5.591090454917583e-08,29,attn:30-5,attn,0.3793103448275862,ceo_lastname
6,30,0.0036475639802744358,0.0023501761852778484,29,attn:30-6,attn,0.896551724137931,ceo_lastname
7,30,0.00045704477323466617,0.0,29,attn:30-7,attn,0.4827586206896552,ceo_lastname
8,30,-0.00047660867812756316,-2.818420274041142e-07,29,attn:30-8,attn,0.3448275862068966,ceo_lastname
9,30,0.002889450827714391,0.0018543193374235443,29,attn:30-9,attn,0.896551724137931,ceo_lastname
0,31,-0.0022498277590926154,-0.0023501761852778484,29,attn:31-0,attn,0.034482758620689655,ceo_lastname
