model,target_task,K,sensitivity_mean_drop,on_target_drop,off_target_mean_drop,mean_accuracy,baseline_accuracy
Qwen2.5-7B-Instruct,registrant_name,8,0.0945121951219512,0.14634146341463417,0.08710801393728221,0.8810975609756098,0.975609756097561
Qwen2.5-7B-Instruct,registrant_name,16,0.10670731707317072,0.19512195121951215,0.0940766550522648,0.8689024390243902,0.975609756097561
Qwen2.5-7B-Instruct,registrant_name,32,0.2195121951219512,0.36585365853658536,0.19860627177700346,0.7560975609756098,0.975609756097561
Qwen2.5-7B-Instruct,registrant_name,48,0.5060975609756098,0.8048780487804877,0.46341463414634143,0.46951219512195125,0.975609756097561
Qwen2.5-7B-Instruct,registrant_name,64,0.8140243902439024,0.9512195121951219,0.7944250871080138,0.16158536585365854,0.975609756097561
Qwen2.5-7B-Instruct,registrant_name,96,0.9390243902439024,0.9512195121951219,0.9372822299651568,0.036585365853658534,0.975609756097561
Qwen2.5-7B-Instruct,registrant_name,128,0.9695121951219512,0.975609756097561,0.9686411149825783,0.006097560975609756,0.975609756097561
Mistral-7B-Instruct-v0.3,ceo_lastname,0,0.0,0.0,0.0,0.875,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,8,0.21875,0.25,0.21428571428571427,0.65625,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,16,0.39583333333333337,0.29166666666666663,0.4107142857142857,0.47916666666666663,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,32,0.8125,0.6666666666666666,0.8333333333333333,0.0625,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,48,0.8697916666666666,0.875,0.869047619047619,0.005208333333333333,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,64,0.8333333333333334,0.875,0.8273809523809524,0.04166666666666667,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,96,0.875,0.875,0.875,0.0,0.875
Mistral-7B-Instruct-v0.3,ceo_lastname,128,0.875,0.875,0.875,0.0,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,0,0.0,0.0,0.0,0.875,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,8,0.6354166666666667,0.8333333333333334,0.6071428571428571,0.23958333333333331,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,16,0.71875,0.8333333333333334,0.7023809523809524,0.15625,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,32,0.8489583333333334,0.875,0.8452380952380952,0.026041666666666664,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,48,0.8489583333333334,0.875,0.8452380952380952,0.026041666666666664,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,64,0.8697916666666666,0.875,0.869047619047619,0.005208333333333333,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,96,0.875,0.875,0.875,0.0,0.875
Mistral-7B-Instruct-v0.3,employees_count_total,128,0.875,0.875,0.875,0.0,0.875
