head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
12,25,0.00018204585558697465,6.246125999890128e-07,12,attn:25-12,attn,0.6666666666666666,ceo_lastname
13,25,-0.0004964500437852657,-0.00015170348956604587,12,attn:25-13,attn,0.4166666666666667,ceo_lastname
14,25,0.002802292038588248,2.8536036711131824e-10,12,attn:25-14,attn,0.5,ceo_lastname
15,25,0.007566412532126081,-2.9877014069193074e-10,12,attn:25-15,attn,0.4166666666666667,ceo_lastname
16,25,-7.299650900404593e-05,-1.8935638333374012e-08,12,attn:25-16,attn,0.4166666666666667,ceo_lastname
17,25,0.0002578063731540694,-2.987701406919307e-09,12,attn:25-17,attn,0.4166666666666667,ceo_lastname
18,25,0.001370371923215933,3.194425952011283e-09,12,attn:25-18,attn,0.5833333333333334,ceo_lastname
19,25,-3.748095284146639e-05,8.589699641095204e-10,12,attn:25-19,attn,0.5,ceo_lastname
2,25,6.403407967349484e-05,1.3405819669254924e-07,12,attn:25-2,attn,0.75,ceo_lastname
20,25,-4.980103418634508e-05,1.5410418259729527e-07,12,attn:25-20,attn,0.6666666666666666,ceo_lastname
21,25,-0.0006520962908209328,-0.0008873839020850998,12,attn:25-21,attn,0.3333333333333333,ceo_lastname
22,25,0.0008606644933478255,2.404660695983699e-09,12,attn:25-22,attn,0.5,ceo_lastname
23,25,0.00081054276208419,0.000878355981677533,12,attn:25-23,attn,0.75,ceo_lastname
24,25,1.6861681288059808e-05,-7.507357265654217e-06,12,attn:25-24,attn,0.3333333333333333,ceo_lastname
25,25,-1.2796776376055847e-05,-1.4938507034596535e-09,12,attn:25-25,attn,0.4166666666666667,ceo_lastname
26,25,-2.8525676399075865e-06,3.873954538133937e-07,12,attn:25-26,attn,0.5,ceo_lastname
27,25,0.000732409748130541,-2.6889312662273763e-09,12,attn:25-27,attn,0.4166666666666667,ceo_lastname
28,25,0.00023676675198009526,-1.3099235094740092e-08,12,attn:25-28,attn,0.3333333333333333,ceo_lastname
29,25,3.2396829339856866e-05,1.2167923294858636e-06,12,attn:25-29,attn,0.5833333333333334,ceo_lastname
3,25,0.00021491127630739824,-4.035274460300293e-09,12,attn:25-3,attn,0.3333333333333333,ceo_lastname
